Rxn,Rxn_Name,Rule,Pathway,Formula
10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal",,"Transport, lysosomal","10-formyltetrahydrofolate-[Glu](5)  -> 10-formyltetrahydrofolate-[Glu](5) "
10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial",,"Transport, mitochondrial","10-formyltetrahydrofolate-[Glu](5)  -> 10-formyltetrahydrofolate-[Glu](5) "
10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal",,"Transport, lysosomal","10-formyltetrahydrofolate-[Glu](6)  -> 10-formyltetrahydrofolate-[Glu](6) "
10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial",,"Transport, mitochondrial","10-formyltetrahydrofolate-[Glu](6)  -> 10-formyltetrahydrofolate-[Glu](6) "
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",,"Transport, lysosomal","10-formyltetrahydrofolate-[Glu](7)  -> 10-formyltetrahydrofolate-[Glu](7) "
10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial",,"Transport, mitochondrial","10-formyltetrahydrofolate-[Glu](7)  -> 10-formyltetrahydrofolate-[Glu](7) "
10FTHFtl,"10-Formyltetrahydrofolate lysosomal transport via diffusion",,"Transport, lysosomal","10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
10FTHFtm,"10-Formyltetrahydrofolate mitochondrial transport via diffusion",,"Transport, mitochondrial","10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
11DOCRTSLtm,"11-deoxycortisol intracellular transport",,"Transport, mitochondrial","11-deoxycortisol  <=> 11-deoxycortisol "
11DOCRTSLtr,"11-deoxycortisol intracellular transport",,"Transport, endoplasmic reticular","11-deoxycortisol  <=> 11-deoxycortisol "
11DOCRTSTRNtm,"11-deoxycorticosterone intracellular transport",,"Transport, mitochondrial","11-deoxycorticosterone  <=> 11-deoxycorticosterone "
11DOCRTSTRNtr,"11-deoxycorticosterone intracellular transport",,"Transport, endoplasmic reticular","11-deoxycorticosterone  <=> 11-deoxycorticosterone "
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",(AOC3) | (AOC1) | (AOC2) | (AOC2),"beta-Alanine metabolism","trimethylenediaminium + Water + O2  -> beta-Aminopropion aldehyde + Hydrogen peroxide + Ammonium "
1MNCAMti,"N1-Methylnicotinamide transport",,"Transport, extracellular","Water + 1-methylnicotinamide + ATP  -> 1-methylnicotinamide + ADP + proton + hydrogenphosphate "
