Var1,Var2
10fthf5glu[c],"10-Formyltetrahydrofolate-[Glu](5)"
10fthf5glu[l],"10-Formyltetrahydrofolate-[Glu](5)"
10fthf5glu[m],"10-Formyltetrahydrofolate-[Glu](5)"
10fthf6glu[c],"10-Formyltetrahydrofolate-[Glu](6)"
10fthf6glu[l],"10-Formyltetrahydrofolate-[Glu](6)"
10fthf6glu[m],"10-Formyltetrahydrofolate-[Glu](6)"
10fthf7glu[c],"10-Formyltetrahydrofolate-[Glu](7)"
10fthf7glu[l],"10-Formyltetrahydrofolate-[Glu](7)"
10fthf7glu[m],"10-Formyltetrahydrofolate-[Glu](7)"
10fthf[c],"10-Formyltetrahydrofolate"
10fthf[l],"10-Formyltetrahydrofolate"
10fthf[m],"10-Formyltetrahydrofolate"
11docrtsl[c],"11-Deoxycortisol"
11docrtsl[m],"11-Deoxycortisol"
11docrtsl[r],"11-Deoxycortisol"
11docrtstrn[c],"11-Deoxycorticosterone"
11docrtstrn[m],"11-Deoxycorticosterone"
11docrtstrn[r],"11-Deoxycorticosterone"
13dampp[c],"Trimethylenediaminium"
h2o[c],"Water"
o2[c],"Oxygen"
bamppald[c],"Beta-Aminopropion Aldehyde"
h2o2[c],"Hydrogen Peroxide"
nh4[c],"Ammonium"
h2o[m],"Water"
o2[m],"Oxygen"
2425dhvitd2[m],"24R,25-Dihyoxyvitamin D2"
h[m],"Proton"
nadph[m],"Nicotinamide Adenine Dinucleotide Phosphate - Reduced"
1a2425thvitd2[m],"1-Alpha,24R,25-Trihydroxyvitamin D2"
nadp[m],"Nicotinamide Adenine Dinucleotide Phosphate"
2425dhvitd3[m],"(24R)-24,25-Dihydroxycalciol"
1a25dhvitd2[m],"1-Alpha,25-Dihydroxyvitamin D2"
1a25dhvitd3[m],"Calcitriol"
h[c],"Proton"
1mncam[c],"1-Methylnicotinamide"
1mncam[e],"1-Methylnicotinamide"
atp[c],"Adenosine Triphosphate"
adp[c],"Adenosine Diphosphate"
pi[c],"Orthophosphate"
h[x],"Proton"
1pipdn2c[x],"1-Piperideine-2-Carboxylate"
nadh[x],"Nicotinamide Adenine Dinucleotide - Reduced"
Lpipecol[x],"L-Pipecolic Acid"
nad[x],"Nicotinamide Adenine Dinucleotide"
2425dhvitd2[c],"24R,25-Dihyoxyvitamin D2"
2425dhvitd2[e],"24R,25-Dihyoxyvitamin D2"
2425dhvitd3[c],"(24R)-24,25-Dihydroxycalciol"
2425dhvitd3[e],"(24R)-24,25-Dihydroxycalciol"
25hvitd2[m],"25-Hydroxyvitamin D2"
25hvitd3[m],"Calcidiol"
24nph[e],"2-Hydroxy-4-Nitrophenolate"
24nph[c],"2-Hydroxy-4-Nitrophenolate"
25hvitd2[c],"25-Hydroxyvitamin D2"
25hvitd2[e],"25-Hydroxyvitamin D2"
25hvitd3[c],"Calcidiol"
25hvitd3[e],"Calcidiol"
2amac[c],"2-Aminoacrylic Acid"
pyr[c],"Pyruvate"
nadph[c],"Nicotinamide Adenine Dinucleotide Phosphate - Reduced"
nadp[c],"Nicotinamide Adenine Dinucleotide Phosphate"
