Rxn,min_AST,max_AST,min_GBM,max_GBM,min_ODG,max_ODG,Formula
10FTHF7GLUtl,0,7.46474241471636e-06,0,1.09697280095133e-05,0,4.42813680479048e-06,"10-Formyltetrahydrofolate-[Glu](7)  -> 10-Formyltetrahydrofolate-[Glu](7) "
10FTHF7GLUtm,0,7.46474188417778e-06,0,1.09697280095133e-05,0,4.12924855197616e-06,"10-Formyltetrahydrofolate-[Glu](7)  -> 10-Formyltetrahydrofolate-[Glu](7) "
10FTHFtl,-7.46474241471636e-06,0,-1.09697280095133e-05,0,-4.42813680479048e-06,0,"10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
10FTHFtm,NaN,NaN,0,1.16228665092422e-05,NaN,NaN,"10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
13DAMPPOX,0,2.3993811737455e-06,0,6.44043940893927e-06,0,4.73495304836187e-06,"Trimethylenediaminium + Water + Oxygen  -> Beta-Aminopropion Aldehyde + Hydrogen Peroxide + Ammonium "
2H3MVc,0,474.943141403122,0,179.316515450136,0,0.000105382878473392,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-Methyl-2-Oxopentanoate  <=> Nicotinamide Adenine Dinucleotide + 2-Hydroxy-3-Methyl-Valerate "
2H3MVte,0,474.943141403122,0,179.316515450186,0,0.000105382881883997,"2-Hydroxy-3-Methyl-Valerate  <=> 2-Hydroxy-3-Methyl-Valerate "
2HATVACIDtep,-1000,1000,-1000,1000,-1000,1000,"2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid  <=> 2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid "
2HATVACIDthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid  <=> Bicarbonate + 2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid "
2HATVLACtep,-1000,1000,-1000,1000,-1000,1000,"2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone  <=> 2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone "
2HATVLACthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone  <=> Bicarbonate + 2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone "
2HBO,-250.701597650367,0,-0.00224397301622048,0,-1.88946272601243e-05,6.13212188227408e-05,"Nicotinamide Adenine Dinucleotide + 2-Hydroxybutyrate  <=> Proton + Nicotinamide Adenine Dinucleotide - Reduced + 2-Oxobutanoate "
2HBt2,-1000,1000,-1000,1000,-1000,1000,"Proton + 2-Hydroxybutyrate  <=> Proton + 2-Hydroxybutyrate "
2HCO3_NAt,-1000,1000,NaN,NaN,-1000,1000,"2 Bicarbonate + Sodium  <=> 2 Bicarbonate + Sodium "
2HIVc,0,474.943141403122,0,179.316515450167,0,0.000105382878587079,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-Methyl-2-Oxobutanoate  <=> Nicotinamide Adenine Dinucleotide + 2-Hydroxy-Isovalerate "
2HIVte,0,474.943141403121,0,179.316515450084,0,0.000105382882452432,"2-Hydroxy-Isovalerate  <=> 2-Hydroxy-Isovalerate "
