Drugs,Subtype,grRatio,DelRxns
cannabidiol ;adapalene,AST,0,3SALATAi; ALOX5; ALOX52; CAT2p; CATm; CATp; CYSTA; GTHO; GTHOm; LCYSTAT; SPODMn; SPODMx; THYMDtm; r0021; r0022; r0488; ASPTA; SPODM; PHETA1; 2M3OVCOAm; CE2006te
cannabidiol ;zidovudine,AST,0,ADEt; ADNt; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GTHO; GTHOm; SPODMn; SPODMx; THYMDt1; THYMDtm; URIt; r0021; r0022; r0488; SPODM; HYXNt; 2M3OVCOAm; CE2006te; 34DHPHAte
fluorouracil ;acetazolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;brinzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;celecoxib,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;diclofenamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;dobutamine,AST,0,34DHPHAMT; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;dorzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;ethoxzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;indapamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;methazolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;resveratrol,AST,0,41R2A1H12BOOX; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; THYMDtm; H2CO3D; GLUPRT; ORNDC; HMR_4422
fluorouracil ;sulfanilamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;topiramate,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;zidovudine,AST,0,ADEt; ADNt; CYTDt; DURAD; THYMDt1; THYMDtm; URIt; GLUPRT; HYXNt; 34DHPHAte
fluorouracil ;zonisamide,AST,0,41R2A1H12BOOX; 5HOXINDACTO2OX; APRTO2; DURAD; H2CO3Dm; THYMDtm; r1418; H2CO3D; GLUPRT
cannabidiol ;zidovudine,GBM,0,ADEt; ADNt; ADNtm; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GSNt; GTHO; GTHOm; SPODMn; SPODMx; THYMDt1; THYMDtm; URIt; r0021; r0022; r0488; SPODM; HYXNt; 2M3OVCOAm; CE2006te; PPP9ABCte; CE1918te; 34DHPHAte; 34DHOXMANDte; HMR_8476
