Drugs,Subtype,TYPE2,SYMBOL
acetazolamide,AST,Double Drug Deletion,CA5A
acetazolamide,AST,Double Drug Deletion,CA5B
acetazolamide,AST,Double Drug Deletion,CA12
acetazolamide,AST,Double Drug Deletion,CA2
acetazolamide,AST,Double Drug Deletion,CA9
acetazolamide,AST,Double Drug Deletion,CA14
acetazolamide,AST,Double Drug Deletion,CA6
acetazolamide,AST,Double Drug Deletion,CA1
acetazolamide,AST,Double Drug Deletion,CA4
acetazolamide,AST,Double Drug Deletion,CA7
acetazolamide,AST,Double Drug Deletion,CA13
acetazolamide,AST,Double Drug Deletion,CA3
acetazolamide,GBM,Double Drug Deletion,CA5A
acetazolamide,GBM,Double Drug Deletion,CA5B
acetazolamide,GBM,Double Drug Deletion,CA12
acetazolamide,GBM,Double Drug Deletion,CA2
acetazolamide,GBM,Double Drug Deletion,CA9
acetazolamide,GBM,Double Drug Deletion,CA14
acetazolamide,GBM,Double Drug Deletion,CA6
acetazolamide,GBM,Double Drug Deletion,CA1
acetazolamide,GBM,Double Drug Deletion,CA4
acetazolamide,GBM,Double Drug Deletion,CA7
acetazolamide,GBM,Double Drug Deletion,CA13
acetazolamide,GBM,Double Drug Deletion,CA3
acetazolamide,ODG,Double Drug Deletion,CA5A
acetazolamide,ODG,Double Drug Deletion,CA5B
acetazolamide,ODG,Double Drug Deletion,CA12
acetazolamide,ODG,Double Drug Deletion,CA2
acetazolamide,ODG,Double Drug Deletion,CA9
acetazolamide,ODG,Double Drug Deletion,CA14
acetazolamide,ODG,Double Drug Deletion,CA6
acetazolamide,ODG,Double Drug Deletion,CA1
acetazolamide,ODG,Double Drug Deletion,CA4
acetazolamide,ODG,Double Drug Deletion,CA7
acetazolamide,ODG,Double Drug Deletion,CA13
acetazolamide,ODG,Double Drug Deletion,CA3
acyclovir,AST,Single Drug Deletion,PNP
acyclovir,AST,Single Drug Deletion,SLC22A1
acyclovir,AST,Single Drug Deletion,SLC22A6
acyclovir,AST,Single Drug Deletion,SLC22A8
acyclovir,AST,Single Drug Deletion,GUK1
acyclovir,GBM,Single Drug Deletion,PNP
acyclovir,GBM,Single Drug Deletion,SLC22A6
acyclovir,GBM,Single Drug Deletion,SLC22A8
acyclovir,GBM,Single Drug Deletion,GUK1
acyclovir,ODG,Single Drug Deletion,PNP
acyclovir,ODG,Single Drug Deletion,SLC22A6
acyclovir,ODG,Single Drug Deletion,SLC22A8
acyclovir,ODG,Single Drug Deletion,GUK1
adapalene,AST,Double Drug Deletion,GOT1
adapalene,ODG,Double Drug Deletion,GOT1
adenosine,AST,Single Drug Deletion,SLC29A2
adenosine,AST,Single Drug Deletion,SLC29A1
adenosine,AST,Single Drug Deletion,SLC29A3
adenosine,AST,Single Drug Deletion,NME2
adenosine,AST,Single Drug Deletion,NME1
adenosine,AST,Single Drug Deletion,PNP
adenosine,AST,Single Drug Deletion,PI4K2A
adenosine,AST,Single Drug Deletion,PI4KA
adenosine,AST,Single Drug Deletion,PI4KB
adenosine,AST,Single Drug Deletion,ADK
adenosine,GBM,Single Drug Deletion,ADA
adenosine,GBM,Single Drug Deletion,SLC29A2
adenosine,GBM,Single Drug Deletion,SLC29A1
adenosine,GBM,Single Drug Deletion,SLC29A3
adenosine,GBM,Single Drug Deletion,NME2
adenosine,GBM,Single Drug Deletion,NME1
adenosine,GBM,Single Drug Deletion,PNP
adenosine,GBM,Single Drug Deletion,PI4K2A
adenosine,GBM,Single Drug Deletion,PI4KA
adenosine,GBM,Single Drug Deletion,PI4KB
adenosine,ODG,Single Drug Deletion,SLC29A2
adenosine,ODG,Single Drug Deletion,SLC29A1
adenosine,ODG,Single Drug Deletion,SLC28A3
adenosine,ODG,Single Drug Deletion,SLC29A3
adenosine,ODG,Single Drug Deletion,NME2
adenosine,ODG,Single Drug Deletion,NME1
adenosine,ODG,Single Drug Deletion,PNP
adenosine,ODG,Single Drug Deletion,PI4K2A
adenosine,ODG,Single Drug Deletion,PI4KA
adenosine,ODG,Single Drug Deletion,PI4KB
adenosine,ODG,Single Drug Deletion,SLC29A4
arsenic-trioxide,AST,Single Drug Deletion,TXNRD1
arsenic-trioxide,GBM,Single Drug Deletion,TXNRD1
arsenic-trioxide,ODG,Single Drug Deletion,TXNRD1
azathioprine,ODG,Single Drug Deletion,SLC29A2
azathioprine,ODG,Single Drug Deletion,SLC28A3
azathioprine,ODG,Single Drug Deletion,ITPA
azathioprine,ODG,Single Drug Deletion,HPRT1
azathioprine,ODG,Single Drug Deletion,IMPDH1
azathioprine,ODG,Single Drug Deletion,IMPDH2
azathioprine,ODG,Single Drug Deletion,PPAT
brinzolamide,AST,Double Drug Deletion,CA5A
brinzolamide,AST,Double Drug Deletion,CA5B
brinzolamide,AST,Double Drug Deletion,CA12
brinzolamide,AST,Double Drug Deletion,CA2
brinzolamide,AST,Double Drug Deletion,CA9
brinzolamide,AST,Double Drug Deletion,CA14
brinzolamide,AST,Double Drug Deletion,CA6
brinzolamide,AST,Double Drug Deletion,CA1
brinzolamide,AST,Double Drug Deletion,CA4
brinzolamide,AST,Double Drug Deletion,CA7
brinzolamide,AST,Double Drug Deletion,CA13
brinzolamide,AST,Double Drug Deletion,CA3
brinzolamide,GBM,Double Drug Deletion,CA5A
brinzolamide,GBM,Double Drug Deletion,CA5B
brinzolamide,GBM,Double Drug Deletion,CA12
brinzolamide,GBM,Double Drug Deletion,CA2
brinzolamide,GBM,Double Drug Deletion,CA9
brinzolamide,GBM,Double Drug Deletion,CA14
brinzolamide,GBM,Double Drug Deletion,CA6
brinzolamide,GBM,Double Drug Deletion,CA1
brinzolamide,GBM,Double Drug Deletion,CA4
brinzolamide,GBM,Double Drug Deletion,CA7
brinzolamide,GBM,Double Drug Deletion,CA13
brinzolamide,GBM,Double Drug Deletion,CA3
brinzolamide,ODG,Double Drug Deletion,CA5A
brinzolamide,ODG,Double Drug Deletion,CA5B
brinzolamide,ODG,Double Drug Deletion,CA12
brinzolamide,ODG,Double Drug Deletion,CA2
brinzolamide,ODG,Double Drug Deletion,CA9
brinzolamide,ODG,Double Drug Deletion,CA14
brinzolamide,ODG,Double Drug Deletion,CA6
brinzolamide,ODG,Double Drug Deletion,CA1
brinzolamide,ODG,Double Drug Deletion,CA4
brinzolamide,ODG,Double Drug Deletion,CA7
brinzolamide,ODG,Double Drug Deletion,CA13
brinzolamide,ODG,Double Drug Deletion,CA3
brivudine,AST,Single Drug Deletion,TK1
brivudine,AST,Single Drug Deletion,TK2
