Drugs,Subtype,grRatio,DelRxns,All_Targets,Effective_Targets
cannabidiol ;adapalene,AST,0,3SALATAi; ALOX5; ALOX52; CAT2p; CATm; CATp; CYSTA; GTHO; GTHOm; LCYSTAT; SPODMn; SPODMx; THYMDtm; r0021; r0022; r0488; ASPTA; SPODM; PHETA1; 2M3OVCOAm; CE2006te,2805.1; 4363.1; 38.1; 2030.1; 246.1; 240.1; 847.1; 2936.1; 2876.2; 2876.1; 5743.1; 5742.1; 6609.1; 6647.1; 3156.1; 4297.1,2805.1; 2936.1; 38.1; 847.1
cannabidiol ;zidovudine,AST,0,ADEt; ADNt; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GTHO; GTHOm; SPODMn; SPODMx; THYMDt1; THYMDtm; URIt; r0021; r0022; r0488; SPODM; HYXNt; 2M3OVCOAm; CE2006te; 34DHPHAte,4363.1; 38.1; 3177.1; 2030.1; 246.1; 240.1; 847.1; 6582.1; 6582.2; 7083.1; 2936.1; 2876.2; 2876.1; 5743.1; 5742.1; 6609.1; 6647.1; 3156.1; 9356.1; 9376.1,2030.1; 3177.1; 38.1
fluorouracil ;acetazolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 761.1; 766.2; 771.2; 358.1; 5471.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;brinzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;celecoxib,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 8654.2; 8654.3; 8654.1; 9536.1; 9536.2; 5743.1; 5742.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;diclofenamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dobutamine,AST,0,34DHPHAMT; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,1312.1; 1312.2; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dorzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;ethoxzolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 761.1; 766.2; 771.2; 5471.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;indapamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
